Time (s),ax,ay,az,gx,gy,gz
5.01782037,2.683950186,-15.78795052,1.125,-0.2561624944,1.149087548,-0.9987999797
5.03782037,2.683950186,-15.78795052,1.125,-0.2561624944,1.149087548,-0.9987999797
5.05782037,2.683950186,-15.78795052,1.125,-0.2561624944,1.149087548,-0.9987999797
5.07782037,2.683950186,-15.78795052,1.125,-0.2561624944,1.149087548,-0.9987999797
5.09782037,2.683950186,-15.78795052,1.125,-0.2561624944,1.149087548,-0.9987999797
5.11782037,2.58795023,-12.22605038,-1.746000051,-1.134237528,0.8801375031,-0.6732000113
5.13782037,2.58795023,-12.22605038,-1.746000051,-1.134237528,0.8801375031,-0.6732000113
5.15782037,-0.9730500579,-14.63895035,4.782000065,-0.9703375101,0.5384500027,-0.4259749949
5.17782037,-0.9730500579,-14.63895035,4.782000065,-0.9703375101,0.5384500027,-0.4259749949
5.19782037,-0.9730500579,-14.63895035,4.782000065,-0.9703375101,0.5384500027,-0.4259749949
5.21782037,0.616050005,-13.48995018,3.270000219,0.03327500075,-0.3815625012,0.1780624986
5.23782037,0.616050005,-13.48995018,3.270000219,0.03327500075,-0.3815625012,0.1780624986
5.25782037,2.607000113,-10.00500011,-1.383000016,0.05761250108,-0.5880874991,0.1313125044
5.27782037,2.607000113,-10.00500011,-1.383000016,0.05761250108,-0.5880874991,0.1313125044
5.29782037,2.607000113,-10.00500011,-1.383000016,0.05761250108,-0.5880874991,0.1313125044
5.31782037,2.607000113,-10.00500011,-1.383000016,0.05761250108,-0.5880874991,0.1313125044
5.33782037,2.607000113,-10.00500011,-1.383000016,0.05761250108,-0.5880874991,0.1313125044
5.35782037,5.881950378,-4.948950291,0.1870500147,0.6595875025,-0.8193625212,-0.3462249935
5.37782037,5.881950378,-4.948950291,0.1870500147,0.6595875025,-0.8193625212,-0.3462249935
5.39782037,5.881950378,-4.948950291,0.1870500147,0.6595875025,-0.8193625212,-0.3462249935
5.41782037,5.881950378,-4.948950291,0.1870500147,0.6595875025,-0.8193625212,-0.3462249935
5.43782037,5.881950378,-4.948950291,0.1870500147,0.6595875025,-0.8193625212,-0.3462249935
5.45782037,0.5770500302,-5.446950436,0.6270000339,-0.1819124967,-0.1567499936,-1.491874933
5.47782037,0.5770500302,-5.446950436,0.6270000339,-0.1819124967,-0.1567499936,-1.491874933
5.49782037,0.3480000198,-3.703950167,-0.4060500264,0.6191624999,-1.304462552,-0.9294999838
5.51782037,0.3480000198,-3.703950167,-0.4060500264,0.6191624999,-1.304462552,-0.9294999838
5.53782037,0.3480000198,-3.703950167,-0.4060500264,0.6191624999,-1.304462552,-0.9294999838
5.55782037,1.458000064,-4.048950195,-2.473950148,0.5205749869,-1.646700025,-0.6762250066
5.57782037,1.458000064,-4.048950195,-2.473950148,0.5205749869,-1.646700025,-0.6762250066
5.59782037,1.458000064,-4.048950195,-2.473950148,0.5205749869,-1.646700025,-0.6762250066
5.61782037,1.458000064,-4.048950195,-2.473950148,0.5205749869,-1.646700025,-0.6762250066
5.63782037,1.458000064,-4.048950195,-2.473950148,0.5205749869,-1.646700025,-0.6762250066
5.65782037,1.458000064,-4.048950195,-2.473950148,0.5205749869,-1.646700025,-0.6762250066
5.67782037,1.458000064,-4.048950195,-2.473950148,0.5205749869,-1.646700025,-0.6762250066
5.69782037,4.656000137,-10.92405033,-0.07995000482,-1.932150006,-0.746900022,0.2440624982
5.71782037,4.656000137,-10.92405033,-0.07995000482,-1.932150006,-0.746900022,0.2440624982
5.73782037,2.338950157,-10.94295025,3.231000185,-1.642437458,0.1430000067,-0.3301374912
5.75782037,2.338950157,-10.94295025,3.231000185,-1.642437458,0.1430000067,-0.3301374912
5.77782037,2.338950157,-10.94295025,3.231000185,-1.642437458,0.1430000067,-0.3301374912
5.79782037,1.95600009,-11.28795052,2.350950003,-0.3459500074,0.3470500112,0.073012501
5.81782037,1.95600009,-11.28795052,2.350950003,-0.3459500074,0.3470500112,0.073012501
5.83782037,3.603000164,-8.146950722,-1.785000086,0.627412498,0.5202999711,0.1467124969
5.85782037,3.603000164,-8.146950722,-1.785000086,0.627412498,0.5202999711,0.1467124969
5.87782037,3.603000164,-8.146950722,-1.785000086,0.627412498,0.5202999711,0.1467124969
5.89782037,3.603000164,-8.146950722,-1.785000086,0.627412498,0.5202999711,0.1467124969
5.91782037,3.603000164,-8.146950722,-1.785000086,0.627412498,0.5202999711,0.1467124969
5.93782037,2.377050161,-7.936050415,-0.07995000482,0.9821624756,0.683924973,0.007562499959
5.95782037,2.377050161,-7.936050415,-0.07995000482,0.9821624756,0.683924973,0.007562499959
5.97782037,2.377050161,-7.936050415,-0.07995000482,0.9821624756,0.683924973,0.007562499959
5.99782037,2.377050161,-7.936050415,-0.07995000482,0.9821624756,0.683924973,0.007562499959
6.01782037,2.377050161,-7.936050415,-0.07995000482,0.9821624756,0.683924973,0.007562499959
6.03782037,3.12405014,-10.04295063,-0.3100500107,0.5308874846,0.06393750012,0.02213750035
6.05782037,3.12405014,-10.04295063,-0.3100500107,0.5308874846,0.06393750012,0.02213750035
6.07782037,1.993950129,-11.55600071,0.01395000052,-0.3778499961,0.2631750107,-0.06682500243
6.09782037,1.993950129,-11.55600071,0.01395000052,-0.3778499961,0.2631750107,-0.06682500243
6.11782037,1.993950129,-11.55600071,0.01395000052,-0.3778499961,0.2631750107,-0.06682500243
6.13782037,1.993950129,-11.55600071,0.01395000052,-0.3778499961,0.2631750107,-0.06682500243
6.15782037,1.993950129,-11.55600071,0.01395000052,-0.3778499961,0.2631750107,-0.06682500243
6.17782037,3.316050053,-13.47105026,0.8569500446,0.1948374957,-0.4591124952,0.3117125034
6.19782037,3.316050053,-13.47105026,0.8569500446,0.1948374957,-0.4591124952,0.3117125034
6.21782037,3.316050053,-13.47105026,0.8569500446,0.1948374957,-0.4591124952,0.3117125034
6.23782037,3.316050053,-13.47105026,0.8569500446,0.1948374957,-0.4591124952,0.3117125034
6.25782037,3.316050053,-13.47105026,0.8569500446,0.1948374957,-0.4591124952,0.3117125034
6.27782037,3.142950058,-11.57505035,-8.008049965,-0.5202999711,0.2564375103,0.07369999588
6.29782037,3.142950058,-11.57505035,-8.008049965,-0.5202999711,0.2564375103,0.07369999588
6.31782037,5.977050304,-11.93895054,3.442050219,-0.9391250014,0.4999499917,0.07562500238
6.33782037,5.977050304,-11.93895054,3.442050219,-0.9391250014,0.4999499917,0.07562500238
6.35782037,5.977050304,-11.93895054,3.442050219,-0.9391250014,0.4999499917,0.07562500238
6.37782037,2.971050024,-11.67105103,4.207950115,0.3312374949,0.1215500012,-0.3720749915
6.39782037,2.971050024,-11.67105103,4.207950115,0.3312374949,0.1215500012,-0.3720749915
6.41782037,3.622050285,-10.23405075,-2.149049997,0.2281125039,-0.02144999988,-0.1926375031
6.43782037,3.622050285,-10.23405075,-2.149049997,0.2281125039,-0.02144999988,-0.1926375031
6.45782037,3.622050285,-10.23405075,-2.149049997,0.2281125039,-0.02144999988,-0.1926375031
6.47782037,3.622050285,-10.23405075,-2.149049997,0.2281125039,-0.02144999988,-0.1926375031
6.49782037,3.622050285,-10.23405075,-2.149049997,0.2281125039,-0.02144999988,-0.1926375031
6.51782037,2.644950151,-6.748950481,0.07200000435,0.9871125221,-0.6978124976,-0.2343000025
6.53782037,2.644950151,-6.748950481,0.07200000435,0.9871125221,-0.6978124976,-0.2343000025
6.55782037,2.644950151,-6.748950481,0.07200000435,0.9871125221,-0.6978124976,-0.2343000025
6.57782037,2.644950151,-6.748950481,0.07200000435,0.9871125221,-0.6978124976,-0.2343000025
6.59782037,2.644950151,-6.748950481,0.07200000435,0.9871125221,-0.6978124976,-0.2343000025
6.61782037,-0.09195000678,-5.542950153,-0.1189500093,-0.2847625017,-0.6480374932,0.2755500078
6.63782037,-0.09195000678,-5.542950153,-0.1189500093,-0.2847625017,-0.6480374932,0.2755500078
6.65782037,-0.6660000086,-2.326050043,-0.4249500334,-0.2226125002,-1.074699998,0.5321249962
6.67782037,-0.6660000086,-2.326050043,-0.4249500334,-0.2226125002,-1.074699998,0.5321249962
6.69782037,-0.6660000086,-2.326050043,-0.4249500334,-0.2226125002,-1.074699998,0.5321249962
6.71782037,-0.6660000086,-2.326050043,-0.4249500334,-0.2226125002,-1.074699998,0.5321249962
6.73782037,-0.6660000086,-2.326050043,-0.4249500334,-0.2226125002,-1.074699998,0.5321249962
6.75782037,5.191950321,-10.40700054,6.658950329,-0.7002875209,-1.065899968,0.2758249938
6.77782037,5.191950321,-10.40700054,6.658950329,-0.7002875209,-1.065899968,0.2758249938
6.79782037,8.103000641,-26.29995155,1.834050059,1.002650023,-0.7851250172,-0.6242499948
6.81782037,8.103000641,-26.29995155,1.834050059,1.002650023,-0.7851250172,-0.6242499948
6.83782037,8.103000641,-26.29995155,1.834050059,1.002650023,-0.7851250172,-0.6242499948
6.85782037,5.958000183,-3.742950201,0.3970500231,1.100824952,-0.1241625026,-0.5175499916
6.87782037,5.958000183,-3.742950201,0.3970500231,1.100824952,-0.1241625026,-0.5175499916
6.89782037,5.230950356,-11.11500072,1.009950042,0.6256250143,0.9956374764,-1.663200021
6.91782037,5.230950356,-11.11500072,1.009950042,0.6256250143,0.9956374764,-1.663200021
6.93782037,5.230950356,-11.11500072,1.009950042,0.6256250143,0.9956374764,-1.663200021
6.95782037,5.230950356,-11.11500072,1.009950042,0.6256250143,0.9956374764,-1.663200021
6.97782037,5.230950356,-11.11500072,1.009950042,0.6256250143,0.9956374764,-1.663200021
6.99782037,5.230950356,-11.11500072,1.009950042,0.6256250143,0.9956374764,-1.663200021
