Time (s),ax,ay,az,gx,gy,gz
5.014350509,4.005000114,-9.411000252,0.8760000467,0.09432499856,-0.2648249865,-0.1473999918
5.034350509,4.005000114,-9.411000252,0.8760000467,0.09432499856,-0.2648249865,-0.1473999918
5.054350509,4.005000114,-9.411000252,0.8760000467,0.09432499856,-0.2648249865,-0.1473999918
5.074350509,4.005000114,-9.411000252,0.8760000467,0.09432499856,-0.2648249865,-0.1473999918
5.094350509,4.005000114,-9.411000252,0.8760000467,0.09432499856,-0.2648249865,-0.1473999918
5.114350509,3.909000158,-7.342950344,0.6649500132,-0.004262499977,-0.2568500042,0.03107500076
5.134350509,3.909000158,-7.342950344,0.6649500132,-0.004262499977,-0.2568500042,0.03107500076
5.154350509,2.740950108,-7.707000256,-0.1950000077,-0.103262499,-0.274587512,0.1552374959
5.174350509,2.740950108,-7.707000256,-0.1950000077,-0.103262499,-0.274587512,0.1552374959
5.194350509,2.740950108,-7.707000256,-0.1950000077,-0.103262499,-0.274587512,0.1552374959
5.214350509,2.740950108,-7.707000256,-0.1950000077,-0.103262499,-0.274587512,0.1552374959
5.234350509,2.740950108,-7.707000256,-0.1950000077,-0.103262499,-0.274587512,0.1552374959
5.254350509,1.78395009,-11.28795052,-0.04200000316,-0.4357374907,0.2213750035,0.8098750114
5.274350509,1.78395009,-11.28795052,-0.04200000316,-0.4357374907,0.2213750035,0.8098750114
5.294350509,1.78395009,-11.28795052,-0.04200000316,-0.4357374907,0.2213750035,0.8098750114
5.314350509,1.78395009,-11.28795052,-0.04200000316,-0.4357374907,0.2213750035,0.8098750114
5.334350509,1.78395009,-11.28795052,-0.04200000316,-0.4357374907,0.2213750035,0.8098750114
5.354350509,3.373050213,-11.46000099,-0.5590500236,-0.4347749949,0.06393750012,0.6910749674
5.374350509,3.373050213,-11.46000099,-0.5590500236,-0.4347749949,0.06393750012,0.6910749674
5.394350509,3.373050213,-11.46000099,-0.5590500236,-0.4347749949,0.06393750012,0.6910749674
5.414350509,3.373050213,-11.46000099,-0.5590500236,-0.4347749949,0.06393750012,0.6910749674
5.434350509,3.373050213,-11.46000099,-0.5590500236,-0.4347749949,0.06393750012,0.6910749674
5.454350509,3.373050213,-11.46000099,-0.5590500236,-0.4347749949,0.06393750012,0.6910749674
5.474350509,3.373050213,-11.46000099,-0.5590500236,-0.4347749949,0.06393750012,0.6910749674
5.494350509,-0.7050000429,-9.085050583,-0.9040500522,-0.2261874974,-0.6294749975,0.6634374857
5.514350509,-0.7050000429,-9.085050583,-0.9040500522,-0.2261874974,-0.6294749975,0.6634374857
5.534350509,-0.7050000429,-9.085050583,-0.9040500522,-0.2261874974,-0.6294749975,0.6634374857
5.554350509,-0.7050000429,-9.085050583,-0.9040500522,-0.2261874974,-0.6294749975,0.6634374857
5.574350509,-0.7050000429,-9.085050583,-0.9040500522,-0.2261874974,-0.6294749975,0.6634374857
5.594350509,0.9990000725,-9.544950485,-0.865950048,-0.2732124925,-0.8736749887,0.9211124778
5.614350509,0.9990000725,-9.544950485,-0.865950048,-0.2732124925,-0.8736749887,0.9211124778
5.634350509,1.132950068,-9.928050041,-0.1950000077,-0.245024994,-0.9022749662,0.8915500045
5.654350509,1.132950068,-9.928050041,-0.1950000077,-0.245024994,-0.9022749662,0.8915500045
5.674350509,1.132950068,-9.928050041,-0.1950000077,-0.245024994,-0.9022749662,0.8915500045
5.694350509,0.9220500588,-10.31100082,0.511950016,-0.1039500013,-0.9447624683,0.4450874925
5.714350509,0.9220500588,-10.31100082,0.511950016,-0.1039500013,-0.9447624683,0.4450874925
5.734350509,-0.6280500293,-10.57905006,0.244050011,0.2968625128,-0.7636749744,-0.02282499894
5.754350509,-0.6280500293,-10.57905006,0.244050011,0.2968625128,-0.7636749744,-0.02282499894
5.774350509,-0.6280500293,-10.57905006,0.244050011,0.2968625128,-0.7636749744,-0.02282499894
5.794350509,-0.6280500293,-10.57905006,0.244050011,0.2968625128,-0.7636749744,-0.02282499894
5.814350509,-0.6280500293,-10.57905006,0.244050011,0.2968625128,-0.7636749744,-0.02282499894
5.834350509,-0.8959500194,-10.69395065,-0.1759500057,0.4563624859,-0.6572499871,0.1357125044
5.854350509,-0.8959500194,-10.69395065,-0.1759500057,0.4563624859,-0.6572499871,0.1357125044
5.874350509,-0.8959500194,-10.69395065,-0.1759500057,0.4563624859,-0.6572499871,0.1357125044
5.894350509,-0.8959500194,-10.69395065,-0.1759500057,0.4563624859,-0.6572499871,0.1357125044
5.914350509,-0.8959500194,-10.69395065,-0.1759500057,0.4563624859,-0.6572499871,0.1357125044
5.934350509,1.573050022,-6.748950481,0.3589500189,0.2338874936,-1.087900043,0.2358125001
5.954350509,1.573050022,-6.748950481,0.3589500189,0.2338874936,-1.087900043,0.2358125001
5.974350509,0.8839500546,-10.19595051,0.9340500236,0.09019999951,-1.318762541,0.1079374999
5.994350509,0.8839500546,-10.19595051,0.9340500236,0.09019999951,-1.318762541,0.1079374999
6.014350509,0.8839500546,-10.19595051,0.9340500236,0.09019999951,-1.318762541,0.1079374999
6.034350509,0.8839500546,-10.19595051,0.9340500236,0.09019999951,-1.318762541,0.1079374999
