"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.494350509E0,-1.413500011E-1,5.099874735E-1,-3.409999907E-1
1.514350509E0,-1.413500011E-1,5.099874735E-1,-3.409999907E-1
1.534350509E0,-1.280124933E-1,4.651624858E-1,-3.390749991E-1
1.554350509E0,-1.280124933E-1,4.651624858E-1,-3.390749991E-1
1.574350509E0,-1.280124933E-1,4.651624858E-1,-3.390749991E-1
1.594350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.614350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.634350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.654350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.674350509E0,-1.791625023E-1,4.070000052E-1,-2.886124849E-1
1.694350509E0,-2.428250015E-1,1.003749967E-1,-2.118874937E-1
1.714350509E0,-2.428250015E-1,1.003749967E-1,-2.118874937E-1
1.734350509E0,-2.231625021E-1,1.388750039E-2,-1.710499972E-1
1.754350509E0,-2.231625021E-1,1.388750039E-2,-1.710499972E-1
1.774350509E0,-2.231625021E-1,1.388750039E-2,-1.710499972E-1
1.794350509E0,-2.231625021E-1,1.388750039E-2,-1.710499972E-1
1.814350509E0,-2.231625021E-1,1.388750039E-2,-1.710499972E-1
1.834350509E0,-1.993750036E-2,-9.432499856E-2,-1.333750039E-1
1.854350509E0,-1.993750036E-2,-9.432499856E-2,-1.333750039E-1
1.874350509E0,-1.993750036E-2,-9.432499856E-2,-1.333750039E-1
1.894350509E0,-1.993750036E-2,-9.432499856E-2,-1.333750039E-1
1.914350509E0,-1.993750036E-2,-9.432499856E-2,-1.333750039E-1
1.934350509E0,2.444749922E-1,-1.751749963E-1,-9.831249714E-2
1.954350509E0,2.444749922E-1,-1.751749963E-1,-9.831249714E-2
1.974350509E0,3.778499961E-1,-3.482874930E-1,-6.778749824E-2
1.994350509E0,3.778499961E-1,-3.482874930E-1,-6.778749824E-2
2.014350509E0,3.778499961E-1,-3.482874930E-1,-6.778749824E-2
2.034350509E0,3.778499961E-1,-3.482874930E-1,-6.778749824E-2
2.054350509E0,3.778499961E-1,-3.482874930E-1,-6.778749824E-2
2.074350509E0,3.995749950E-1,-5.483499765E-1,6.338749826E-2
2.094350509E0,3.995749950E-1,-5.483499765E-1,6.338749826E-2
2.114350509E0,3.995749950E-1,-5.483499765E-1,6.338749826E-2
2.134350509E0,3.995749950E-1,-5.483499765E-1,6.338749826E-2
2.154350509E0,3.995749950E-1,-5.483499765E-1,6.338749826E-2
2.174350509E0,1.786125004E-1,-4.479750097E-1,1.278750002E-1
2.194350509E0,1.786125004E-1,-4.479750097E-1,1.278750002E-1
2.214350509E0,1.955250055E-1,-3.084124923E-1,1.054624990E-1
2.234350509E0,1.955250055E-1,-3.084124923E-1,1.054624990E-1
2.254350509E0,1.955250055E-1,-3.084124923E-1,1.054624990E-1
2.274350509E0,1.955250055E-1,-3.084124923E-1,1.054624990E-1
2.294350509E0,1.955250055E-1,-3.084124923E-1,1.054624990E-1
2.314350509E0,4.837250113E-1,-2.616625130E-1,-6.421250105E-2
2.334350509E0,4.837250113E-1,-2.616625130E-1,-6.421250105E-2
2.354350509E0,4.837250113E-1,-2.616625130E-1,-6.421250105E-2
2.374350509E0,4.837250113E-1,-2.616625130E-1,-6.421250105E-2
2.394350509E0,4.837250113E-1,-2.616625130E-1,-6.421250105E-2
2.414350509E0,5.807999969E-1,-2.373249978E-1,-2.382874936E-1
2.434350509E0,5.807999969E-1,-2.373249978E-1,-2.382874936E-1
2.454350509E0,5.807999969E-1,-2.373249978E-1,-2.382874936E-1
2.474350509E0,5.807999969E-1,-2.373249978E-1,-2.382874936E-1
2.494350509E0,5.807999969E-1,-2.373249978E-1,-2.382874936E-1
2.514350509E0,5.660874844E-1,-2.079000026E-1,-2.546499968E-1
2.534350509E0,5.660874844E-1,-2.079000026E-1,-2.546499968E-1
2.554350509E0,5.589374900E-1,-1.112374961E-1,-2.315499932E-1
2.574350509E0,5.589374900E-1,-1.112374961E-1,-2.315499932E-1
2.594350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.614350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.634350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.654350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.674350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.694350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.714350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.734350509E0,5.475249887E-1,1.209999993E-2,-1.590874940E-1
2.754350509E0,6.623374820E-1,-1.343237519E0,2.827000022E-1
2.774350509E0,6.623374820E-1,-1.343237519E0,2.827000022E-1
2.794350509E0,8.610249758E-1,-1.292912483E0,2.968625128E-1
2.814350509E0,8.610249758E-1,-1.292912483E0,2.968625128E-1
2.834350509E0,8.610249758E-1,-1.292912483E0,2.968625128E-1
2.854350509E0,8.610249758E-1,-1.292912483E0,2.968625128E-1
2.874350509E0,8.610249758E-1,-1.292912483E0,2.968625128E-1
2.894350509E0,1.094912529E0,-1.432474971E0,3.359124959E-1
2.914350509E0,1.094912529E0,-1.432474971E0,3.359124959E-1
2.934350509E0,1.090374947E0,-9.383000135E-1,2.184875011E-1
2.954350509E0,1.090374947E0,-9.383000135E-1,2.184875011E-1
2.974350509E0,1.090374947E0,-9.383000135E-1,2.184875011E-1
2.994350509E0,9.933000207E-1,-2.996124923E-1,1.007874981E-1
3.014350509E0,9.933000207E-1,-2.996124923E-1,1.007874981E-1
3.034350509E0,9.933000207E-1,-2.996124923E-1,1.007874981E-1
3.054350509E0,9.933000207E-1,-2.996124923E-1,1.007874981E-1
3.074350509E0,9.933000207E-1,-2.996124923E-1,1.007874981E-1
3.094350509E0,9.933000207E-1,-2.996124923E-1,1.007874981E-1
3.114350509E0,9.933000207E-1,-2.996124923E-1,1.007874981E-1
3.134350509E0,1.051599979E0,-4.354625046E-1,9.638749808E-2
3.154350509E0,1.051599979E0,-4.354625046E-1,9.638749808E-2
3.174350509E0,1.051599979E0,-4.354625046E-1,9.638749808E-2
3.194350509E0,1.051599979E0,-4.354625046E-1,9.638749808E-2
3.214350509E0,1.051599979E0,-4.354625046E-1,9.638749808E-2
3.234350509E0,5.550875068E-1,-1.845249981E-1,2.692250013E-1
3.254350509E0,5.550875068E-1,-1.845249981E-1,2.692250013E-1
3.274350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.294350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.314350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.334350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.354350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.374350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.394350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.414350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.434350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.454350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.474350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.494350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.514350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.534350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.554350509E0,3.121249974E-1,-2.227500081E-2,3.378374875E-1
3.574350509E0,-3.104749918E-1,-3.764750063E-1,3.641000092E-1
3.594350509E0,-3.104749918E-1,-3.764750063E-1,3.641000092E-1
3.614350509E0,-3.844499886E-1,-3.040125072E-1,5.721374750E-1
3.634350509E0,-3.844499886E-1,-3.040125072E-1,5.721374750E-1
3.654350509E0,-3.844499886E-1,-3.040125072E-1,5.721374750E-1
3.674350509E0,-3.844499886E-1,-3.040125072E-1,5.721374750E-1
3.694350509E0,-3.844499886E-1,-3.040125072E-1,5.721374750E-1
3.714350509E0,-6.366249919E-2,-3.316499889E-1,8.225250244E-1
3.734350509E0,-6.366249919E-2,-3.316499889E-1,8.225250244E-1
3.754350509E0,-6.366249919E-2,-3.316499889E-1,8.225250244E-1
3.774350509E0,-6.366249919E-2,-3.316499889E-1,8.225250244E-1
3.794350509E0,-6.366249919E-2,-3.316499889E-1,8.225250244E-1
3.814350509E0,4.189625084E-1,-3.984749913E-1,8.923749924E-1
3.834350509E0,4.189625084E-1,-3.984749913E-1,8.923749924E-1
3.854350509E0,5.460125208E-1,-6.440500021E-1,7.603750229E-1
3.874350509E0,5.460125208E-1,-6.440500021E-1,7.603750229E-1
3.894350509E0,5.460125208E-1,-6.440500021E-1,7.603750229E-1
3.914350509E0,5.460125208E-1,-6.440500021E-1,7.603750229E-1
3.934350509E0,5.460125208E-1,-6.440500021E-1,7.603750229E-1
3.954350509E0,2.216500044E-1,-1.607374996E-1,8.541499972E-1
3.974350509E0,2.216500044E-1,-1.607374996E-1,8.541499972E-1
3.994350509E0,2.216500044E-1,-1.607374996E-1,8.541499972E-1
4.014350509E0,2.216500044E-1,-1.607374996E-1,8.541499972E-1
4.034350509E0,2.216500044E-1,-1.607374996E-1,8.541499972E-1
4.054350509E0,-3.944875002E-1,9.088749886E-1,1.196249962E0
4.074350509E0,-3.944875002E-1,9.088749886E-1,1.196249962E0
4.094350509E0,-2.791250050E-1,1.207800031E0,8.949875236E-1
4.114350509E0,-2.791250050E-1,1.207800031E0,8.949875236E-1
4.134350509E0,-2.791250050E-1,1.207800031E0,8.949875236E-1
4.154350509E0,-2.791250050E-1,1.207800031E0,8.949875236E-1
4.174350509E0,-2.791250050E-1,1.207800031E0,8.949875236E-1
4.194350509E0,1.443750039E-2,7.042750120E-1,4.521000087E-1
4.214350509E0,1.443750039E-2,7.042750120E-1,4.521000087E-1
4.234350509E0,8.635000139E-2,3.213374913E-1,6.391000152E-1
4.254350509E0,8.635000139E-2,3.213374913E-1,6.391000152E-1
4.274350509E0,8.635000139E-2,3.213374913E-1,6.391000152E-1
4.294350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.314350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.334350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.354350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.374350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.394350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.414350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.434350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.454350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.474350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.494350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.514350509E0,4.588375092E-1,-7.328750193E-2,3.324750066E-1
4.534350509E0,-5.685625076E-1,1.006499976E-1,8.751875162E-1
4.554350509E0,-5.685625076E-1,1.006499976E-1,8.751875162E-1
4.574350509E0,-5.685625076E-1,1.006499976E-1,8.751875162E-1
4.594350509E0,-5.685625076E-1,1.006499976E-1,8.751875162E-1
4.614350509E0,-5.685625076E-1,1.006499976E-1,8.751875162E-1
4.634350509E0,-4.941749871E-1,6.270000339E-2,3.515875041E-1
4.654350509E0,-4.941749871E-1,6.270000339E-2,3.515875041E-1
4.674350509E0,-3.750999868E-1,2.634499967E-1,2.795374990E-1
4.694350509E0,-3.750999868E-1,2.634499967E-1,2.795374990E-1
4.714350509E0,-3.750999868E-1,2.634499967E-1,2.795374990E-1
4.734350509E0,-3.750999868E-1,2.634499967E-1,2.795374990E-1
4.754350509E0,-3.750999868E-1,2.634499967E-1,2.795374990E-1
4.774350509E0,-5.541250110E-2,1.949750036E-1,-1.636249945E-2
4.794350509E0,-5.541250110E-2,1.949750036E-1,-1.636249945E-2
4.814350509E0,-5.541250110E-2,1.949750036E-1,-1.636249945E-2
4.834350509E0,-5.541250110E-2,1.949750036E-1,-1.636249945E-2
4.854350509E0,-5.541250110E-2,1.949750036E-1,-1.636249945E-2
4.874350509E0,-7.356250286E-2,-1.031249985E-1,7.452499866E-2
4.894350509E0,-7.356250286E-2,-1.031249985E-1,7.452499866E-2
4.914350509E0,-6.407500058E-2,-1.710499972E-1,3.822499886E-2
4.934350509E0,-6.407500058E-2,-1.710499972E-1,3.822499886E-2
4.954350509E0,-6.407500058E-2,-1.710499972E-1,3.822499886E-2
4.974350509E0,-6.407500058E-2,-1.710499972E-1,3.822499886E-2
4.994350509E0,-6.407500058E-2,-1.710499972E-1,3.822499886E-2
5.014350509E0,9.432499856E-2,-2.648249865E-1,-1.473999918E-1
