"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.873037864E0,5.671050072E0,-6.462000370E0,-4.440000355E-1
1.893037864E0,6.130950451E0,-6.940950394E0,-5.400000215E-1
1.913037864E0,6.283950329E0,-6.940950394E0,4.159500301E-1
1.933037864E0,5.767050266E0,-6.940950394E0,9.720000625E-1
1.953037864E0,5.097000122E0,-6.691950321E0,1.029000044E0
1.973037864E0,4.618050098E0,-6.079050064E0,1.507950068E0
1.993037864E0,4.828050137E0,-6.213000298E0,1.290000081E-1
2.013037864E0,5.020050049E0,-6.691950321E0,-9.420000315E-1
2.033037864E0,5.134950161E0,-6.960000515E0,-7.699500322E-1
2.053037864E0,3.793950081E0,-7.458000183E0,2.629500031E-1
2.073037864E0,3.411000252E0,-7.822050571E0,7.609500289E-1
2.093037864E0,3.009000063E0,-8.434050560E0,1.009950042E0
2.113037864E0,1.956000090E0,-8.242950439E0,8.190000653E-1
2.133037864E0,4.240500331E-1,-8.377050400E0,1.680000126E-1
2.153037864E0,2.140500098E-1,-8.875050545E0,-1.380000114E-1
2.173037864E0,5.200500488E-1,-6.711000443E0,-2.719500065E-1
2.193037864E0,8.070000410E-1,-4.393949986E0,5.119500160E-1
2.213037864E0,1.669050097E0,-4.891950130E0,1.489050031E0
2.233037864E0,2.109000206E0,-5.409000397E0,1.891050100E0
2.253037864E0,9.220500588E-1,-5.773050308E0,1.201950073E0
2.273037864E0,-1.605000019E0,-1.023405075E1,-7.995000482E-2
2.293037864E0,-4.113000393E0,-1.745400047E1,1.987050056E0
2.313037864E0,-5.664000034E0,-2.379195023E1,1.182000041E0
2.333037864E0,-3.864000082E0,-2.406000137E1,1.776000142E0
2.353037864E0,-5.130000114E-1,-1.779795074E1,1.393050075E0
2.373037864E0,4.819500148E-1,-1.132605076E1,1.564950109E0
2.393037864E0,9.030000567E-1,-8.224050522E0,5.310000181E-1
2.413037864E0,1.209000111E0,-6.922050476E0,-7.120500207E-1
2.433037864E0,9.600000381E-1,-6.864000320E0,-6.169500351E-1
2.453037864E0,5.200500488E-1,-8.760000229E0,8.380500674E-1
2.473037864E0,-1.879500151E-1,-9.870000839E0,2.236050129E0
2.493037864E0,-7.050000429E-1,-1.059795094E1,2.215950012E0
2.513037864E0,-8.959500194E-1,-1.061700058E1,1.929000139E0
2.533037864E0,-1.011000037E0,-1.013895035E1,1.162950039E0
2.553037864E0,-1.087950110E0,-9.660000801E0,3.405000269E-2
2.573037864E0,-9.150000215E-1,-9.526050568E0,-6.550500393E-1
2.593037864E0,-9.150000215E-1,-9.544950485E0,-5.779500008E-1
2.613037864E0,-9.340500236E-1,-9.448950768E0,1.395000052E-2
2.633037864E0,-9.340500236E-1,-9.507000923E0,7.420500517E-1
2.653037864E0,-5.899500251E-1,-9.258000374E0,7.609500289E-1
2.673037864E0,-6.660000086E-1,-9.870000839E0,5.295000225E-2
2.693037864E0,-3.600000143E-1,-9.966000557E0,-2.910000086E-1
2.713037864E0,-3.220500052E-1,-9.775050163E0,-3.480000198E-1
2.733037864E0,-3.409500122E-1,-9.507000923E0,-7.995000482E-2
2.753037864E0,-6.469500065E-1,-9.352950096E0,1.480500102E-1
2.773037864E0,-9.540000558E-1,-9.391950607E0,2.250000089E-1
2.793037864E0,-6.850500107E-1,-9.352950096E0,3.405000269E-2
2.813037864E0,-4.939500093E-1,-9.238950729E0,-3.289500177E-1
2.833037864E0,-3.019500077E-1,-9.411000252E0,-1.075950027E0
2.853037864E0,-9.195000678E-2,-9.564000130E0,-1.746000051E0
2.873037864E0,5.770500302E-1,-9.583050728E0,-1.593000054E0
2.893037864E0,1.228050113E0,-9.315000534E0,-1.075950027E0
2.913037864E0,1.611000061E0,-9.334050179E0,-1.191000104E0
2.933037864E0,1.899000049E0,-9.564000130E0,-2.206050158E0
2.953037864E0,2.014050007E0,-9.736050606E0,-2.646000147E0
2.973037864E0,1.956000090E0,-9.507000923E0,-2.206050158E0
2.993037864E0,1.497000098E0,-8.989950180E0,-1.708050132E0
3.013037864E0,1.036949992E0,-8.701950073E0,-2.071950197E0
3.033037864E0,9.220500588E-1,-8.875050545E0,-2.569950104E0
3.053037864E0,7.500000596E-1,-9.352950096E0,-2.608050108E0
3.073037864E0,7.110000253E-1,-9.640950203E0,-2.895000219E0
