Time (s),ax,ay,az,gx,gy,gz
5.013037864,5.479950428,0.7950000167,-8.237999916,0.2029500008,-0.1358499974,-0.1559250057
5.033037864,5.326050282,0.6990000606,-8.391000748,0.1845249981,-0.2028124928,-0.1699499935
5.053037864,5.134950161,0.6610500216,-8.334000587,0.1771000028,-0.2220624983,-0.1691250056
5.073037864,5.116050243,0.7750500441,-8.237999916,0.1626625061,-0.2546499968,-0.1687124968
5.093037864,5.038950443,0.8520000577,-8.257050514,0.1270499974,-0.2371875048,-0.1535875052
5.113037864,5.173050404,0.7750500441,-8.295000076,0.1148125008,-0.2256374955,-0.1592250019
5.133037864,5.30700016,0.6610500216,-8.353050232,0.09707500041,-0.1960749924,-0.167475
5.153037864,5.30700016,0.6610500216,-8.179950714,0.07218749821,-0.1544124931,-0.1280124933
5.173037864,5.344950199,0.6799500585,-8.161050797,0.06036249921,-0.142037496,-0.1149500012
5.193037864,5.499000072,0.6220500469,-8.122950554,0.03423750028,-0.1185249984,-0.1014750004
5.213037864,5.518050194,0.6220500469,-8.046000481,-0.001512499992,-0.09281250089,-0.05266249925
5.233037864,5.460000038,0.7369500399,-8.104050636,-0.009899999946,-0.08703749627,-0.03203750029
5.253037864,5.440950394,0.8140500188,-8.122950554,-0.01416249946,-0.07603749633,-0.01333750039
5.273037864,5.499000072,0.7950000167,-8.179950714,-0.01388750039,-0.05596249923,-0.005912499968
5.293037864,5.344950199,0.6610500216,-8.200050354,-0.01471249945,-0.04688749835,-0.002199999988
5.313037864,5.30700016,0.6990000606,-8.237999916,-0.01636249945,-0.03272499889,0.002199999988
5.333037864,5.211000443,0.8329500556,-8.257050514,-0.02419999987,0.009762499481,0.02103750035
5.353037864,5.173050404,0.889950037,-8.179950714,-0.02557500079,0.02268750034,0.02612499893
5.373037864,5.173050404,0.7950000167,-8.200050354,-0.02268750034,0.02804999985,0.02241249941
5.393037864,5.173050404,0.756000042,-8.179950714,-0.01443750039,0.01979999989,-0.004537499975
5.413037864,5.269050121,0.7180500627,-8.237999916,-0.01292499993,0.01732499897,-0.01251249947
5.433037864,5.344950199,0.6990000606,-8.200050354,-0.001374999993,-0.004124999978,-0.0431750007
5.453037864,5.191950321,0.6990000606,-8.257050514,0.005362499971,-0.01196249947,-0.06352499872
5.473037864,5.211000443,0.7750500441,-8.218950272,0.008799999952,-0.02282499894,-0.07081250101
5.493037864,5.326050282,0.8140500188,-8.104050636,0.01457499992,-0.04331250116,-0.07466249913
5.513037864,5.422050476,0.7750500441,-8.065950394,0.01498750038,-0.04606249928,-0.07232499868
5.533037864,5.440950394,0.7369500399,-8.065950394,0.01003750041,-0.04138749838,-0.05596249923
5.553037864,5.403000355,0.6799500585,-8.257050514,-0.003574999981,-0.03341250122,-0.02694999985
5.573037864,5.556000233,0.756000042,-7.836000443,-0.01732499897,-0.02323750034,0.001099999994
5.593037864,5.536950111,0.6610500216,-7.836000443,-0.03135000169,-0.00178749999,0.02873750031
5.613037864,5.575050354,0.5460000038,-8.046000481,-0.04702499881,0.05843750015,0.09473749995
5.633037864,5.614050388,0.4500000179,-8.257050514,-0.0496375002,0.07672499865,0.1153625026
5.653037864,5.518050194,0.5839500427,-8.161050797,-0.04619999975,0.09171249717,0.1465750039
5.673037864,5.556000233,0.8140500188,-7.93200016,-0.03478749841,0.0984499976,0.1363999993
5.693037864,5.556000233,0.8520000577,-8.104050636,-0.03341250122,0.09872499853,0.1230624989
5.713037864,5.536950111,0.7950000167,-8.142000198,-0.03409999982,0.098862499,0.1028499976
5.733037864,5.556000233,0.8329500556,-8.122950554,-0.04331250116,0.1093124971,0.098862499
5.753037864,5.518050194,0.8140500188,-8.046000481,-0.04427500069,0.1099999994,0.09253749996
5.773037864,5.499000072,0.6799500585,-8.065950394,-0.03849999979,0.1020250022,0.0679249987
5.793037864,5.440950394,0.6799500585,-8.161050797,-0.02227500081,0.08318749815,0.03066249937
5.813037864,5.518050194,0.6799500585,-8.257050514,-0.01581249945,0.07796250284,0.02062499896
5.833037864,5.422050476,0.6610500216,-8.161050797,0.004674999975,0.05926249921,-0.003574999981
5.853037864,5.383950233,0.8329500556,-8.085000038,0.02791249938,0.02268750034,-0.04633750021
5.873037864,5.383950233,0.8329500556,-8.065950394,0.02612499893,0.01732499897,-0.05183750018
5.893037864,5.440950394,0.8140500188,-8.046000481,0.01801249944,0.002887499984,-0.07039999962
5.913037864,5.499000072,0.7369500399,-8.085000038,0.007149999961,-0.01292499993,-0.09226249903
5.933037864,5.536950111,0.6610500216,-8.142000198,0.00838750042,-0.01512499992,-0.08566249907
5.953037864,5.593950272,0.7180500627,-8.008049965,0.01484999992,-0.01306249946,-0.07287500054
5.973037864,5.671050072,0.6990000606,-7.969950199,0.02172499895,-0.006599999964,-0.04798749834
5.993037864,5.689950466,0.6030000448,-8.026950836,0.03148749843,-0.004812499974,-0.0362999998
6.013037864,5.671050072,0.5839500427,-8.046000481,0.05403750017,0.002337499987,-0.02901249938
6.033037864,5.671050072,0.5839500427,-7.98900032,0.05761250108,0.03726249933,-0.03121249937
6.053037864,5.671050072,0.5839500427,-7.98900032,0.05761250108,0.03726249933,-0.03121249937
6.073037864,5.689950466,0.5839500427,-8.085000038,0.03712499887,0.07315000147,-0.006737499963
6.093037864,5.632950306,0.5839500427,-8.161050797,0.0309375003,0.07864999771,0.00549999997
6.113037864,5.499000072,0.6409500241,-8.237999916,0.02034999989,0.07782500237,0.03684999794
6.133037864,5.344950199,0.6409500241,-8.179950714,0.01622499898,0.05733750015,0.06503749639
6.153037864,5.287950039,0.6409500241,-8.122950554,0.01801249944,0.04675000161,0.06489999592
6.173037864,5.30700016,0.6799500585,-7.951050282,0.02282499894,0.02832499892,0.05788749829
